Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,930.000000,942.000000,902.200012,919.200012,919.200012,9358677
2018-08-06,928.700012,939.099976,896.750000,901.650024,901.650024,3763151
2018-08-07,904.650024,931.900024,898.700012,927.250000,927.250000,4450697
2018-08-08,929.099976,936.500000,921.000000,935.000000,935.000000,2163746
2018-08-09,934.799988,934.799988,909.299988,915.299988,915.299988,2536080
2018-08-10,915.000000,932.000000,913.000000,920.099976,920.099976,2105317
2018-08-13,915.000000,924.000000,910.549988,913.650024,913.650024,1316517
2018-08-14,914.200012,927.000000,914.049988,925.599976,925.599976,1404450
2018-08-16,924.000000,929.000000,917.000000,919.450012,919.450012,1196749
2018-08-17,924.900024,945.000000,921.549988,941.549988,941.549988,2697290
2018-08-20,942.000000,943.500000,914.150024,921.700012,921.700012,2529831
2018-08-21,924.650024,927.950012,905.799988,916.299988,916.299988,2531200
2018-08-23,925.000000,926.400024,907.099976,911.900024,911.900024,1571386
2018-08-24,912.400024,915.900024,882.500000,885.349976,885.349976,3218302
2018-08-27,894.000000,900.000000,887.099976,890.900024,890.900024,1789147
2018-08-28,895.000000,897.750000,871.549988,888.299988,888.299988,3563757
2018-08-29,888.000000,895.599976,876.500000,882.799988,882.799988,1863018
2018-08-30,884.450012,891.000000,876.000000,878.349976,878.349976,1758855
2018-08-31,881.000000,894.799988,877.099976,891.900024,891.900024,1677232
2018-09-03,896.849976,921.349976,891.150024,912.750000,912.750000,4972521
