Id,Title,Description,URL,Timestamp
1,"Lexus, Seabourn, Tesla and Gucci – News briefs",Today in luxury - Lexus reveals the LY 650 luxury yacht; Luxury cruise line Seabourn launches 146-day world cruise; Tesla offers immediate delivery of Model 3 to select reservation holders; Gucci puts the logo front and center on its latest T-shirt.,https://www.luxurydaily.com/lexus-seabourn-tesla-and-gucci-news-briefs/,2018-09-11T06:30:11Z
2,Tesla Model S Can Be Hacked In Seconds With This Raspberry Pi-powered Equipment,"Tesla is the epitome of innovation combined with unmatched features, including utmost comfort and tight security that provides a completely digitized driving experience. However, it seems that hackers are always a step ahead. Researchers from KU Leuven Un",https://fossbytes.com/tesla-model-s-keyfob-hacked-equipment/,2018-09-11T05:20:53Z
3,This quadcopter is a 'flying battery' than can stay in the sky for 2 hours,"While most of today's drones can stay airborne for around half an hour tops, Impossible Aerospace's US-1 drone can fly for up to two hours. The feat was achieved by building the machine around a larger-than-usual battery, and the company says that if the desi…",https://www.digitaltrends.com/cool-tech/impossible-aerospace-us-1-flying-battery-drone/,2018-09-11T05:15:51Z
4,China’s factory base rolls out red carpet for big foreign investors as trade war begins to bite,"Guangdong province, the centre of China’s export industry, is redoubling its efforts to woo foreign investors to counterbalance the increasing impact of the trade war with the United States. The provincial government has updated its foreign direct investment …",https://www.scmp.com/economy/china-economy/article/2163680/chinas-factory-base-rolls-out-red-carpet-big-foreign-investors,2018-09-11T05:02:57Z
5,Lehman Brothers collapse: where are the key figures now?,Ten years ago this weekend the investment bank’s bankruptcy caused panic in US and UK Ten years ago this weekend Lehman Brothers crashed into bankruptcy – the biggest corporate failure in history – and sent the world’s financial system reeling close to collap…,https://www.theguardian.com/business/2018/sep/11/lehman-brothers-collapse-where-are-the-key-figures-now,2018-09-11T05:00:10Z
6,"Embattled Ontario Premier Doug Ford makes history, notwithstanding","Most of MetaFilter has had little political news from Toronto since its, er, colourful mayor Rob Ford ( previously ) declined to run for re-election due to ill health before passing away at age 46. But wait, there is a sequel: Rob's brother, one-term Toronto …",http://www.metafilter.com/176448/Embattled-Ontario-Premier-Doug-Ford-makes-history-notwithstanding,2018-09-11T04:48:49Z
7,Elon Musk Elevates a Little-Known Fixer to Steer Tesla Past Drama,"Outside the walls of Tesla, Jerome Guillen is hardly a household name.",https://gadgets.ndtv.com/transportation/news/elon-musk-elevates-a-little-known-fixer-to-steer-tesla-past-drama-1914596,2018-09-11T04:41:27Z
8,Snap Chief Strategy Officer Imran Khan Leaves in Latest Executive Departure,"Snap, the parent of Snapchat messaging, said on Monday Chief Strategy Officer Imran Khan will step down, the latest top-level exit amid pressure to stem a drop in users.",https://gadgets.ndtv.com/apps/news/snapchat-cso-imran-khan-departs-1914587,2018-09-11T04:29:46Z
9,"S&P, Nasdaq edge higher after recent losses but Apple drags",Republicans to unveil new round of tax cuts this week,https://www.thehindubusinessline.com/markets/stock-markets/sp-nasdaq-edge-higher-after-recent-losses-but-apple-drags/article24922711.ece,2018-09-11T04:21:07Z
10,Tesla Wireless Phone Charger will return with a price cut,Remember that Tesla-branded wireless charger that suddenly disappeared as quickly as it showed up? Apparently disappearing and reappearing is its most distinctive quality. The phone accessory reappeared on Tesla’s store only to disappear again after quickly s…,https://www.slashgear.com/tesla-wireless-phone-charger-will-return-with-a-price-cut-10545089/,2018-09-11T04:15:48Z
11,Markets send Tesla a message about funding needs,"Although Elon Musk insists otherwise, many believe electric car maker must raise money",https://www.ft.com/content/af83206e-b279-11e8-99ca-68cf89602132,2018-09-11T04:11:01Z
12,"With his retirement plan, Jack Ma is teaching a few leadership lessons","With his retirement plan, Jack Ma is teaching a few leadership lessons",https://www.indiatoday.in/technology/talking-points/story/with-his-retirement-plan-jack-ma-is-teaching-a-few-leadership-lessons-1337332-2018-09-11,2018-09-11T03:52:00Z
13,"Tesla is planning to restock its 6,000mAh wireless charger at a reduced price","Tesla's Wireless Charger from a couple weeks back had quite an impressive response, leading it to sell out quickly. Now, the firm is apparently going to restock the item and offer it at a lower price. Read more...",https://www.neowin.net/news/tesla-is-planning-to-restock-its-6000mah-wireless-charger-at-a-reduced-price/,2018-09-11T03:50:01Z
14,Tesla shares bounce as Musk risk seen as overblown,Much of the pressure on Tesla shares over the last month has been due to the sense Elon Musk is 'running wild and can't be contained' following a patch of erratic behaviour.,https://www.freemalaysiatoday.com/category/business/2018/09/11/tesla-shares-bounce-as-musk-risk-seen-as-overblown/,2018-09-11T03:45:39Z
15,The hashtag (#) just turned 11. Is it time to celebrate?,"On the hashtag's 10-year anniversary last year, Twitter's co-founder Biz Stone recounted how the hashtag symbol came to be so iconic",https://www.business-standard.com/article/economy-policy/the-hashtag-just-turned-11-is-it-time-to-celebrate-118091100105_1.html,2018-09-11T03:21:00Z
16,"Tesla tumbles on new executive departures, Musk interview","New York (AFP) Sept 7, 2018 Shares of Tesla Motors tumbled Friday as investors were rattled by the departures of two executives and a late-night interview in which chief executive Elon Musk was seen smoking marijuana. Tesla shares sank 6.3 to close at $263.24…",http://www.spacedaily.com/reports/Tesla_tumbles_on_new_executive_departures_Musk_interview_999.html,2018-09-11T03:17:02Z
17,Tesla increases price of Model 3 Dual Motor AWD again,"Tesla can’t seem to make up its mind when it comes to the price of Dual Motor All-Wheel-Drive option of the Model 3. The automaker is now changing the price for their third time in a few months – making it 20% more expensive at $6,000. more…",https://electrek.co/2018/09/10/tesla-model-3-dual-motor-awd-price-increase/,2018-09-11T03:10:07Z
18,"Four Relative Positions in Gold, Oil, FX Majors and Tech Shares for Signal and Opportunity",Gold’s performance relative to silver may make its haven status more appealing. Other assets are also worth watching for the influence of tariffs.,https://www.dailyfx.com/forex/video/live_events/2018/09/11/Four-Relative-Positions-in-Gold-Oil-FX-Majors-and-Tech-Shares-for-Signal-and-Opportunity.html,2018-09-11T02:53:00Z
19,"Tesla to restock sold-out wireless phone charger, cut price by $16","After quickly selling out of a sleek but underpowered wireless smartphone charger in late August, Tesla this week informed customers that the device will soon be back in stock at a roughly $16 discount. Tesla is in the process of emailing customers who purcha…",https://appleinsider.com/articles/18/09/10/tesla-to-restock-sold-out-wireless-phone-charger-cut-price-by-16,2018-09-11T02:40:30Z
20,Snapchat’s parent company’s chief strategy officer Imran Khan to step down,Khan was named to the role in 2015 and played a key part in taking Snap public in March of 2017. The post Snapchat’s parent company’s chief strategy officer Imran Khan to step down appeared first on Firstpost.,https://www.firstpost.com/tech/news-analysis/snapchats-parent-companys-chief-strategy-officer-imran-khan-to-step-down-5157901.html,2018-09-11T02:29:44Z
21,"Tesla to eliminate some paint options to increase production efficiency, gives last chance to order","Tesla is telling customers that it is about to eliminate some paint options for Model S, Model X and Model 3 “in order to increase production, delivery and service efficiency.” The automaker is offering customers a last chance to order them. more…",https://electrek.co/2018/09/10/tesla-model-3-paint-options-removed-increase-production-efficiency/,2018-09-11T02:28:23Z
22,APPLE becomes most shorted company ahead of iPhone launch...,"Short sellers have circled Apple on the eve of the tech giant&rsquo;s highly-anticipated iPhone launch, with the tech giant becoming America&rsquo;s most bet-against company.",https://www.telegraph.co.uk/technology/2018/09/10/apple-becomes-shorted-us-company-ahead-iphone-launch/,2018-09-11T02:04:37Z
23,There's Still No Chance That Apple Will Buy Tesla,"Tesla fans love the idea, but it isn't happening. Here's why.",https://www.fool.com/investing/2018/09/10/theres-still-no-chance-that-apple-will-buy-tesla.aspx,2018-09-11T01:47:00Z
